"Taxon","Cluster"
"6925_2#77","1"
"6999_1#17","1"
"7553_4#39","1"
"7001_3#8","1"
"7622_3#54","1"
"7622_3#51","1"
"7622_5#73","1"
"6999_5#17","1"
"7622_2#38","1"
"6999_5#19","1"
"7622_2#7","1"
"7622_2#25","1"
"6999_7#23","1"
"6999_2#1","1"
"7622_2#12","1"
"7001_3#7","1"
"6999_7#22","1"
"7001_1#17","1"
"7553_4#6","1"
"6999_2#15","1"
"6952_4#21","1"
"6999_4#11","1"
"7001_1#8","1"
"7001_1#21","1"
"7553_4#17","1"
"7001_2#3","4"
"6930_8#5","4"
"6999_4#2","4"
"6999_4#23","4"
"6999_1#9","4"
"6999_1#5","4"
"6999_2#6","4"
"7622_3#57","4"
"7622_2#39","4"
"6999_4#7","4"
"6925_1#53","4"
"7622_3#88","4"
"7622_4#40","4"
"7622_4#1","4"
"7001_3#22","4"
"7553_4#47","4"
"6999_5#22","4"
"7001_3#6","4"
"7622_4#22","4"
"7553_4#18","4"
"7622_4#33","4"
"7553_6#1","4"
"7622_4#5","4"
"6999_5#7","4"
"7001_3#10","4"
"7553_4#35","4"
"6952_7#15","4"
"7001_2#12","4"
"7553_5#65","4"
"7622_4#9","4"
"7553_5#53","4"
"6930_8#8","4"
"7622_3#94","4"
"6999_3#23","4"
"6952_7#1","4"
"6925_1#67","4"
"6999_6#8","4"
"7622_5#66","4"
"6952_4#18","4"
"7553_4#9","4"
"7622_2#48","4"
"6999_4#10","4"
"6999_1#23","4"
"7553_5#54","4"
"6999_1#22","4"
"7622_3#84","4"
"7001_3#16","4"
"6925_2#86","4"
"7622_4#20","4"
"7622_5#54","4"
"6925_1#49","4"
"6952_4#20","4"
"7622_5#87","4"
"7553_4#13","4"
"7553_5#51","4"
"6999_7#13","4"
"7622_5#70","4"
"7622_3#96","4"
"6925_2#80","4"
"6999_7#8","4"
"6999_5#21","4"
"7553_5#64","4"
"7622_2#9","4"
"6925_2#91","4"
"7001_2#6","4"
"7622_4#29","4"
"6999_6#20","4"
"6999_2#12","4"
"7622_2#1","4"
"6999_1#2","4"
"7622_2#22","4"
"6925_1#50","4"
"7622_5#55","4"
"7622_2#10","4"
"6999_7#11","4"
"7001_2#19","4"
"6999_5#20","4"
"6952_4#23","4"
"6999_3#17","4"
"6925_2#82","4"
"7001_3#17","4"
"7622_4#3","4"
"7001_1#2","4"
"7622_5#89","4"
"7622_2#35","4"
"7622_3#67","4"
"7622_5#77","4"
"6999_5#2","4"
"6999_7#9","4"
"7553_6#3","4"
"7553_5#79","4"
"6999_4#20","4"
"7553_4#4","4"
"7622_5#63","4"
"6999_1#14","4"
"7622_5#50","4"
"7553_5#68","4"
"7622_2#8","4"
"6999_2#9","6"
"7553_6#8","6"
"7622_3#81","6"
"7622_5#62","6"
"6999_6#2","6"
"7001_2#5","6"
"6930_8#10","6"
"7001_1#16","6"
"7622_5#76","6"
"7622_4#24","6"
"7622_3#53","6"
"7622_2#29","6"
"6925_1#63","6"
"7622_5#75","6"
"6999_6#21","6"
"6999_2#8","3"
"7622_4#39","3"
"7001_3#19","3"
"7553_4#26","3"
"6999_7#17","3"
"6999_7#2","3"
"6952_7#9","3"
"6999_4#1","3"
"7622_2#13","3"
"7553_4#24","3"
"7001_1#18","3"
"7622_5#57","3"
"6925_1#70","3"
"7622_3#56","3"
"7622_3#69","3"
"6999_2#2","3"
"7622_4#19","3"
"7553_5#80","3"
"7553_5#86","3"
"7553_5#52","3"
"7622_4#34","3"
"7622_2#44","3"
"7001_3#12","3"
"6999_6#4","3"
"7622_4#11","3"
"7622_5#58","3"
"7001_1#4","3"
"6999_2#22","3"
"6925_2#73","3"
"7553_5#75","3"
"7622_4#7","3"
"7622_5#94","3"
"6999_1#20","3"
"7622_5#90","3"
"6999_4#9","3"
"6952_4#12","3"
"6999_7#19","3"
"7553_4#30","3"
"7622_5#95","3"
"7622_4#17","3"
"7001_3#18","3"
"7622_3#55","3"
"7553_5#82","3"
"7001_3#13","3"
"7001_1#3","3"
"7622_5#91","3"
"6925_2#89","3"
"6999_6#7","3"
"7622_3#83","7"
"6930_8#16","7"
"6930_8#23","7"
"6999_7#6","7"
"7622_4#26","7"
"6925_2#74","7"
"6925_2#85","7"
"6925_2#76","7"
"7553_5#71","7"
"7622_3#82","7"
"7553_4#29","7"
"6999_7#10","7"
"7622_4#41","7"
"7622_3#52","7"
"6999_6#5","7"
"6925_2#94","7"
"7622_3#58","7"
"7553_4#22","7"
"7622_4#2","7"
"6925_1#68","7"
"7001_2#22","7"
"6952_7#14","7"
"6999_5#16","7"
"7622_4#21","7"
"6999_6#3","7"
"6999_1#12","7"
"6999_3#15","7"
"6999_3#8","7"
"7553_4#3","7"
"7622_3#76","7"
"6952_7#17","7"
"7622_5#88","7"
"7622_2#31","7"
"6930_8#13","7"
"6952_7#21","7"
"7622_5#51","7"
"6999_5#6","7"
"6930_8#7","7"
"6952_4#14","7"
"7622_2#28","7"
"7001_2#10","7"
"7622_4#13","7"
"7622_3#92","7"
"7622_2#5","7"
"6930_8#14","7"
"6999_5#3","7"
"7622_5#72","7"
"7622_4#35","7"
"6952_4#3","7"
"7622_5#85","7"
"6925_1#69","7"
"7622_4#27","7"
"7622_2#41","7"
"7622_3#74","7"
"6952_7#8","7"
"6999_6#10","7"
"6952_7#23","10"
"7553_4#36","10"
"7001_2#18","5"
"7622_4#47","5"
"7622_2#18","5"
"7622_4#37","5"
"7622_5#56","5"
"7622_5#93","5"
"6925_1#65","5"
"7553_5#92","5"
"7553_4#19","5"
"7553_4#11","5"
"7622_2#19","5"
"6999_2#3","5"
"7622_3#93","5"
"6999_5#11","16"
"6999_5#23","16"
"6999_7#1","16"
"6952_4#6","16"
"7622_4#42","16"
"7622_2#2","9"
"7622_5#78","9"
"7622_2#30","9"
"7553_4#23","9"
"6999_1#16","9"
"6925_1#59","9"
"7553_5#84","9"
"7553_4#33","9"
"7001_2#23","9"
"7622_2#37","9"
"6999_2#19","9"
"6925_1#55","9"
"6925_2#83","9"
"7553_5#67","9"
"7001_3#21","9"
"7001_2#21","9"
"6925_2#95","9"
"7553_5#56","9"
"7553_4#5","9"
"7001_3#14","9"
"7622_2#36","9"
"6999_2#20","9"
"6952_7#19","9"
"7553_5#58","9"
"7001_3#4","9"
"6999_6#22","23"
"6999_3#7","23"
"6925_1#57","23"
"6952_4#5","23"
"6999_5#8","23"
"6999_7#18","23"
"6999_6#16","23"
"7622_3#71","18"
"7001_2#4","18"
"7622_5#86","18"
"7622_3#70","18"
"7001_2#9","18"
"7622_3#91","13"
"6999_5#14","13"
"7001_1#23","13"
"7553_4#7","13"
"6999_3#13","13"
"6999_4#8","13"
"7001_3#15","13"
"6999_2#5","13"
"6952_4#1","13"
"7622_2#3","13"
"6952_7#20","13"
"7001_1#19","13"
"6999_5#10","13"
"7622_3#68","13"
"6999_3#6","13"
"6999_7#7","13"
"6999_2#4","13"
"6930_8#21","13"
"7001_1#22","13"
"7622_5#60","12"
"7622_5#92","12"
"6999_3#20","12"
"6999_7#12","12"
"6999_1#7","12"
"7001_1#1","12"
"6999_3#22","12"
"6999_2#11","12"
"6999_1#19","12"
"7001_1#7","12"
"7001_2#1","12"
"6925_1#56","14"
"6930_8#20","14"
"6999_3#14","14"
"6952_4#19","24"
"6999_5#12","24"
"6999_5#5","24"
"7622_5#52","24"
"6999_1#11","24"
"6952_4#17","24"
"7622_4#48","24"
"6999_6#1","24"
"6999_1#3","24"
"7622_2#43","15"
"6999_2#13","15"
"7553_5#76","15"
"7622_3#49","15"
"7553_4#12","15"
"7553_5#96","15"
"7553_5#60","15"
"7553_4#27","15"
"6952_7#2","15"
"7553_4#8","15"
"7622_3#72","19"
"6999_3#10","19"
"7001_3#9","19"
"6930_8#6","19"
"6952_7#6","19"
"6999_1#6","19"
"7553_6#6","19"
"7553_4#44","19"
"7001_1#5","19"
"6999_5#4","19"
"6999_4#16","19"
"7553_4#32","19"
"7622_4#36","19"
"7622_5#84","19"
"7001_1#13","19"
"6999_1#4","19"
"7001_1#14","19"
"6930_8#11","19"
"6999_5#9","19"
"7553_5#91","19"
"6999_7#16","19"
"6999_7#20","47"
"7622_4#16","27"
"7622_2#6","27"
"7622_5#82","27"
"7622_3#59","27"
"7622_2#4","27"
"7622_4#18","27"
"7622_5#96","27"
"7622_3#79","27"
"7553_5#49","36"
"7001_2#13","36"
"7553_5#66","36"
"7622_4#12","36"
"6999_2#7","36"
"7553_4#21","36"
"6999_1#8","36"
"7553_5#88","36"
"7622_4#44","36"
"7622_4#6","36"
"7622_2#34","36"
"7622_5#79","36"
"7622_3#89","36"
"6952_7#18","36"
"7622_4#38","36"
"7001_2#15","36"
"7622_3#64","36"
"6952_7#22","36"
"7622_3#66","36"
"7622_2#27","36"
"6999_1#1","36"
"7001_2#7","36"
"7553_5#69","36"
"6952_4#16","36"
"6999_2#10","36"
"7001_2#8","36"
"6999_4#17","36"
"6999_7#4","39"
"6999_3#1","39"
"6952_4#4","39"
"6999_4#21","39"
"6999_3#2","39"
"6999_6#19","39"
"6999_6#9","39"
"6999_4#18","32"
"7553_4#10","32"
"7622_2#40","32"
"6999_5#1","38"
"6925_2#84","38"
"7622_2#16","38"
"7001_3#11","38"
"7622_5#68","38"
"6925_1#64","38"
"6999_4#22","38"
"7622_2#32","38"
"7622_4#4","38"
"7622_5#74","29"
"7622_2#20","29"
"6925_1#66","45"
"7553_4#14","45"
"7001_1#9","45"
"6952_4#7","45"
"7001_2#11","45"
"7622_2#14","45"
"7622_2#42","45"
"7553_4#28","48"
"7553_4#2","49"
"7553_4#42","49"
"6925_2#75","49"
"7553_5#90","49"
"6999_3#11","50"
"6999_1#13","50"
"6925_2#78","50"
"7001_2#16","3"
"6999_6#17","3"
"7622_5#65","3"
"7553_4#41","3"
"6952_7#13","3"
"6999_5#15","3"
"7001_2#2","3"
"6930_8#15","35"
"6999_3#3","35"
"6999_6#12","35"
"7622_5#81","35"
"7553_4#40","35"
"6930_8#18","35"
"7001_3#20","35"
"7622_5#61","46"
"7622_4#15","57"
"7553_5#95","57"
"7622_2#33","57"
"6925_1#52","57"
"6999_7#21","81"
"6999_6#6","81"
